Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
190645:2486,10:10,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5039.59820265,50.3959820265
190645:2486,11:11,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4745.40820325,47.4540820325
190645:2486,12:12,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5706.82481886,57.0682481886
190645:2486,13:13,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5730.80268339,57.3080268339
190645:2486,14:14,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5721.47754005,57.2147754005
190645:2486,15:15,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5733.28045861,57.3328045861
190645:2486,16:16,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5713.9375974,57.139375974
190645:2486,17:17,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5460.77290022,54.6077290022
190645:2486,18:18,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5710.47854135,57.1047854135
190645:2486,19:19,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5711.0093934,57.110093934
190645:2486,20:20,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5241.33273834,52.4133273834
190645:2486,21:21,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5676.53116039,56.7653116039
190645:2486,22:22,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5681.16431519,56.8116431519
190645:2486,23:23,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5695.5760027,56.955760027
190645:2486,24:24,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5679.9626133,56.799626133
190645:2486,25:25,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5694.74058763,56.9474058763
190645:2486,26:26,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5690.28488166,56.9028488166
190645:2486,27:27,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5413.63482482,54.1363482482
190645:2486,28:28,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5682.24828316,56.8224828316
190645:2486,29:29,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5370.53327424,53.7053327424
190645:2486,30:30,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5657.13258898,56.5713258898
190645:2486,31:31,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5424.06484578,54.2406484578
190645:2486,32:32,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4985.2807956,49.852807956
190645:2486,33:33,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4931.24208064,49.3124208064
190645:2486,34:34,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5649.74868534,56.4974868534
190645:2486,35:35,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5118.8316171,51.188316171
190645:2486,36:36,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5649.82113519,56.4982113519
190645:2486,37:37,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5630.3300125,56.303300125
190645:2486,38:38,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5632.4434236,56.324434236
190645:2486,39:39,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5079.80979938,50.7980979938
190645:2486,40:40,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5641.45696005,56.4145696005
190645:2486,41:41,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5634.43531202,56.3443531202
190645:2486,42:42,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5629.11641451,56.2911641451
190645:2486,43:43,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5626.78157648,56.2678157648
190645:2486,44:44,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5620.69336486,56.2069336486
190645:2486,45:45,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5616.18359074,56.1618359074
190645:2486,46:46,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5610.45518515,56.1045518515
190645:2486,47:47,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5534.16883133,55.3416883133
190645:2486,48:48,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5597.95176533,55.9795176533
190645:2486,49:49,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5627.32032364,56.2732032364
190645:2486,50:50,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5613.77106067,56.1377106067
190645:2486,51:51,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5608.35175772,56.0835175772
190645:2486,52:52,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5594.36274337,55.9436274337
190645:2486,53:53,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5600.93465758,56.0093465758
190645:2486,54:54,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5598.94527172,55.9894527172
190645:2486,55:55,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5610.06619608,56.1006619608
190645:2486,56:56,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5457.25586001,54.5725586001
190645:2486,57:57,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5601.23854301,56.0123854301
190645:2486,58:58,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5597.92366239,55.9792366239
190645:2486,59:59,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5583.4072792,55.834072792
190645:2486,60:60,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5592.38791094,55.9238791094
190645:2486,61:61,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4889.24033561,48.8924033561
190645:2486,62:62,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4997.95354321,49.9795354321
190645:2486,63:63,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5049.58496187,50.4958496187
190645:2486,64:64,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5472.62331649,54.7262331649
190645:2486,65:65,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5572.8100967,55.728100967
190645:2486,66:66,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5568.92811826,55.6892811826
190645:2486,67:67,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5555.34078262,55.5534078262
190645:2486,68:68,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5564.03193599,55.6403193599
190645:2486,69:69,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5562.28046021,55.6228046021
190645:2486,70:70,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5545.07137251,55.4507137251
190645:2486,71:71,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5551.68036124,55.5168036124
190645:2486,72:72,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4975.38335877,49.7538335877
190645:2486,73:73,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5547.16602659,55.4716602659
190645:2486,74:74,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5533.08644389,55.3308644389
190645:2486,75:75,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5517.23226247,55.1723226247
190645:2486,76:76,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5539.48558915,55.3948558915
190645:2486,77:77,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5541.64979282,55.4164979282
190645:2486,78:78,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5522.82901983,55.2282901983
190645:2486,79:79,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4989.92456905,49.8992456905
190645:2486,80:80,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5525.65618243,55.2565618243
190645:2486,81:81,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5521.61425212,55.2161425212
190645:2486,82:82,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5520.22925172,55.2022925172
190645:2486,83:83,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5521.54698813,55.2154698813
190645:2486,84:84,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5509.46022876,55.0946022876
190645:2486,85:85,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5514.84092356,55.1484092356
190645:2486,86:86,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4963.69751918,49.6369751918
190645:2486,87:87,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5497.76042142,54.9776042142
190645:2486,88:88,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5515.0495941,55.150495941
190645:2486,89:89,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5066.79615255,50.6679615255
190645:2486,90:90,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5495.5675099,54.955675099
190645:2486,91:91,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5504.40690378,55.0440690378
190645:2486,92:92,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5491.30514102,54.9130514102
190645:2486,93:93,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5498.96218568,54.9896218568
190645:2486,94:94,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5493.30748046,54.9330748046
190645:2486,95:95,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5483.16746488,54.8316746488
190645:2486,96:96,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5474.27183943,54.7427183943
190645:2486,97:97,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5476.12789686,54.7612789686
190645:2486,98:98,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5482.1212805,54.821212805
190645:2486,99:99,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4772.02694926,47.7202694926
190645:2486,100:100,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5478.6594213,54.786594213
190645:2486,101:101,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5447.65387357,54.4765387357
190645:2486,102:102,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5471.20389441,54.7120389441
190645:2486,103:103,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5364.86143491,53.6486143491
190645:2486,104:104,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5466.72464518,54.6672464518
190645:2486,105:105,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5458.87250254,54.5887250254
190645:2486,106:106,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5439.79847413,54.3979847413
190645:2486,107:107,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5452.10382991,54.5210382991
190645:2486,108:108,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5452.65254081,54.5265254081
190645:2486,109:109,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5394.09309977,53.9409309977
190645:2486,110:110,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,3133.52565588,31.3352565588
190646:2486,1:1,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4324.13612052,43.2413612052
190646:2486,2:2,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,36.0561718788,0.360561718788
190646:2486,3:3,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,65.478124623,0.65478124623
190646:2486,4:4,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,1014.65152495,10.1465152495
190646:2486,5:5,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4517.86853744,45.1786853744
190646:2486,6:6,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5421.7823251,54.217823251
190646:2486,7:7,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5230.6138862,52.306138862
190646:2486,8:8,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5418.31331712,54.1831331712
190646:2486,9:9,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5170.17484827,51.7017484827
190646:2486,10:10,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5408.47369617,54.0847369617
190646:2486,11:11,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5400.88219746,54.0088219746
190646:2486,12:12,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5410.68578312,54.1068578312
190646:2486,13:13,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5373.91026499,53.7391026499
190646:2486,14:14,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5389.03819522,53.8903819522
190646:2486,15:15,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5382.15034406,53.8215034406
190646:2486,16:16,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5389.71690313,53.8971690313
190646:2486,17:17,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5375.30437458,53.7530437458
190646:2486,18:18,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4931.05038662,49.3105038662
190646:2486,19:19,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5376.51674919,53.7651674919
190646:2486,20:20,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5356.72174213,53.5672174213
190646:2486,21:21,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5356.54742818,53.5654742818
190646:2486,22:22,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5336.37312409,53.3637312409
190646:2486,23:23,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5349.12051472,53.4912051472
190646:2486,24:24,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5343.27574784,53.4327574784
190646:2486,25:25,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5261.14492316,52.6114492316
190646:2486,26:26,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5337.63591206,53.3763591206
190646:2486,27:27,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5346.00110978,53.4600110978
190646:2486,28:28,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4813.50288255,48.1350288255
190646:2486,29:29,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4965.60484234,49.6560484234
190646:2486,30:30,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5306.14233614,53.0614233614
190646:2486,31:31,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4984.49544408,49.8449544408
190646:2486,32:32,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5321.9460371,53.219460371
190646:2486,33:33,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5335.54238887,53.3554238887
190646:2486,34:34,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5315.92717138,53.1592717138
190646:2486,35:35,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5314.49707798,53.1449707798
190646:2486,36:36,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5082.49281098,50.8249281098
190646:2486,37:37,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5310.82838067,53.1082838067
190646:2486,38:38,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5321.72258263,53.2172258263
190646:2486,39:39,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5303.68002237,53.0368002237
190646:2486,40:40,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5313.02081706,53.1302081706
190646:2486,41:41,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5299.60191381,52.9960191381
190646:2486,42:42,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5307.79950463,53.0779950463
190646:2486,43:43,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5302.60006926,53.0260006926
190646:2486,44:44,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5304.457324,53.04457324
190646:2486,45:45,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5301.27953806,53.0127953806
190646:2486,46:46,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5296.04483513,52.9604483513
190646:2486,47:47,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5297.84557253,52.9784557253
190646:2486,48:48,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5293.97412284,52.9397412284
190646:2486,49:49,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5266.38717363,52.6638717363
190646:2486,50:50,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5287.70827621,52.8770827621
190646:2486,51:51,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5283.33942478,52.8333942478
190646:2486,52:52,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5279.85688457,52.7985688457
190646:2486,53:53,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5262.91558891,52.6291558891
190646:2486,54:54,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5273.55252824,52.7355252824
190646:2486,55:55,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4594.45273947,45.9445273947
190646:2486,56:56,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5264.07579224,52.6407579224
190646:2486,57:57,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5263.20266182,52.6320266182
190646:2486,58:58,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5260.31620466,52.6031620466
190646:2486,59:59,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5258.82799279,52.5882799279
190646:2486,60:60,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4640.56251973,46.4056251973
190646:2486,61:61,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5136.17930149,51.3617930149
190646:2486,62:62,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5063.03901495,50.6303901495
190646:2486,63:63,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5247.93197066,52.4793197066
190646:2486,64:64,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5244.49629018,52.4449629018
190646:2486,65:65,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5085.32847692,50.8532847692
190646:2486,66:66,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5234.13121237,52.3413121237
190646:2486,67:67,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5233.71880736,52.3371880736
190646:2486,68:68,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5227.605473,52.27605473
190646:2486,69:69,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5174.07336066,51.7407336066
190646:2486,70:70,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5209.52794652,52.0952794652
190646:2486,71:71,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4973.75632659,49.7375632659
190646:2486,72:72,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5217.57084384,52.1757084384
190646:2486,73:73,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5214.39344301,52.1439344301
190646:2486,74:74,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5208.98419254,52.0898419254
190646:2486,75:75,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5200.93283133,52.0093283133
190646:2486,76:76,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5199.55754361,51.9955754361
190646:2486,77:77,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5188.67172217,51.8867172217
190646:2486,78:78,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5199.08634853,51.9908634853
190646:2486,79:79,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5184.16117496,51.8416117496
190646:2486,80:80,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,4697.45597831,46.9745597831
190646:2486,81:81,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5178.52536167,51.7852536167
190646:2486,82:82,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5185.94481085,51.8594481085
190646:2486,83:83,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5176.26729447,51.7626729447
190646:2486,84:84,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5165.48140861,51.6548140861
190646:2486,85:85,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5171.21836703,51.7121836703
190646:2486,86:86,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5160.96873462,51.6096873462
190646:2486,87:87,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5141.36023912,51.4136023912
190646:2486,88:88,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5162.96189289,51.6296189289
190646:2486,89:89,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5171.1961627,51.711961627
190646:2486,90:90,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5165.86136837,51.6586136837
190646:2486,91:91,HLT_Photon30_CaloIdVL_IsoL_v16,L1_SingleEG20,100,1,5163.08597367,51.6308597367
