absEta_0_1-bad-Et_45_50	runNumber	194428	194618	0.9915	0.0002
absEta_0_1-bad-Et_0_33	runNumber	194428	194618	0.9943	0.0002
absEta_0_1-bad-Et_50_58	runNumber	194428	194618	0.9913	0.0002
absEta_0_1-bad-Et_58_10000	runNumber	194428	194618	0.9908	0.0003
absEta_0_1-bad-Et_33_39	runNumber	194428	194618	0.9936	0.0002
absEta_0_1-bad-Et_39_45	runNumber	194428	194618	0.9934	0.0002
absEta_0_1-gold-Et_50_55	runNumber	194619	194789	0.9892	0.0003
absEta_0_1-gold-Et_43_50	runNumber	194619	194789	0.9899	0.0002
absEta_0_1-gold-Et_55_10000	runNumber	194619	194789	0.9890	0.0002
absEta_0_1-gold-Et_0_35	runNumber	194619	194789	0.9921	0.0002
absEta_0_1-gold-Et_35_43	runNumber	194619	194789	0.9913	0.0002
absEta_0_1-bad-Et_45_50	runNumber	194619	194789	0.9917	0.0002
absEta_0_1-bad-Et_0_33	runNumber	194619	194789	0.9945	0.0002
absEta_0_1-bad-Et_50_58	runNumber	194619	194789	0.9915	0.0002
absEta_0_1-bad-Et_58_10000	runNumber	194619	194789	0.9910	0.0003
absEta_0_1-bad-Et_33_39	runNumber	194619	194789	0.9938	0.0002
absEta_0_1-bad-Et_39_45	runNumber	194619	194789	0.9936	0.0002
absEta_0_1-gold-Et_50_55	runNumber	194790	195111	0.9897	0.0003
absEta_0_1-gold-Et_43_50	runNumber	194790	195111	0.9904	0.0002
absEta_0_1-gold-Et_55_10000	runNumber	194790	195111	0.9895	0.0002
absEta_0_1-gold-Et_0_35	runNumber	194790	195111	0.9926	0.0002
absEta_0_1-gold-Et_35_43	runNumber	194790	195111	0.9918	0.0002
absEta_0_1-bad-Et_45_50	runNumber	194790	195111	0.9923	0.0002
absEta_0_1-bad-Et_0_33	runNumber	194790	195111	0.9951	0.0002
absEta_0_1-bad-Et_50_58	runNumber	194790	195111	0.9921	0.0002
absEta_0_1-bad-Et_58_10000	runNumber	194790	195111	0.9916	0.0003
absEta_0_1-bad-Et_33_39	runNumber	194790	195111	0.9944	0.0002
absEta_0_1-bad-Et_39_45	runNumber	194790	195111	0.9942	0.0002
absEta_0_1-gold-Et_50_55	runNumber	195112	195377	0.9900	0.0003
absEta_0_1-gold-Et_43_50	runNumber	195112	195377	0.9907	0.0002
absEta_0_1-gold-Et_55_10000	runNumber	195112	195377	0.9898	0.0002
absEta_0_1-gold-Et_0_35	runNumber	195112	195377	0.9929	0.0002
absEta_0_1-gold-Et_35_43	runNumber	195112	195377	0.9921	0.0002
absEta_0_1-bad-Et_45_50	runNumber	195112	195377	0.9926	0.0002
absEta_0_1-bad-Et_0_33	runNumber	195112	195377	0.9954	0.0002
absEta_0_1-bad-Et_50_58	runNumber	195112	195377	0.9924	0.0002
absEta_0_1-bad-Et_58_10000	runNumber	195112	195377	0.9919	0.0003
absEta_0_1-bad-Et_33_39	runNumber	195112	195377	0.9947	0.0002
absEta_0_1-bad-Et_39_45	runNumber	195112	195377	0.9945	0.0002
absEta_0_1-gold-Et_50_55	runNumber	195378	195398	0.9891	0.0003
absEta_0_1-gold-Et_43_50	runNumber	195378	195398	0.9898	0.0002
absEta_0_1-gold-Et_55_10000	runNumber	195378	195398	0.9889	0.0002
